triage_priority,paper_id,doi,status,tissue_stated,tissue_stated_model,unresolved_reason,processing_status,text_completeness,has_sequencing_assay,sequencing_assay_types,paper_confidence,n_tissues,n_sequenced_yes,n_sequenced_no,n_sequenced_unclear,tissue_names,stated_where,strongest_statement,stage_b_capped,determination_changed_by_harness,consistency_flags,evidence_flags,quotes_checked,quotes_failed,quotes_wrong_source,tissues_dropped,sources,n_issues,chars,needs_review
5,10.1002_hep4.1854,10.1002_hep4.1854,ok,yes,yes,none,ok,full,yes,10x Chromium scRNA-seq|10x Chromium snRNA-seq|10x Genomics Visium spatial transcriptomics,0.97,2,2,0,0,caudate lobe|human liver,methods,methods,False,False,,,7,0,0,0,main|supp1,0,74156,True
5,10.1002_path.5751,10.1002_path.5751,ok,yes,yes,none,ok,full,yes,10x Genomics scRNA-seq|bulk RNA-seq,0.95,6,5,1,0,"peripheral zone (human prostate)|prostate (human)|prostate (mouse)|transition zone (human prostate)|urethra (prostatic urethra, mouse)",methods,methods,False,False,,EV-WRONG-SOURCE,17,0,1,0,main|supp1|supp2,2,62579,True
5,10.1002_path.70067,10.1002_path.70067,ok,yes,yes,none,ok,full,yes,10x Genomics Visium spatial transcriptomics (spatial gene e…,0.96,6,6,0,0,adipose tissue|fibrous connective tissue|hamstrings|quadriceps muscle|skeletal muscle|tibialis anterior muscle,methods|results_or_figure,methods,False,False,,,13,0,0,0,main|supp1,0,51982,True
5,10.1002_pros.24020,10.1002_pros.24020,ok,yes,yes,none,ok,full,yes,scRNA-seq,0.96,5,4,1,0,"glandular nodules from BPH prostate (dissected away from the urethra)|mouse prostate|mouse urethra (prostatic urethra, dissected with rhabdosphincter)|young human prostate",methods,methods,False,False,,,15,0,0,0,main,1,51057,True
5,10.1007_s00401-023-02599-5,10.1007_s00401-023-02599-5,ok,yes,yes,none,ok,full,yes,10x Genomics single-nuclei RNA-seq (snRNA-seq),0.97,3,2,1,0,frontal cortex|occipital cortex,methods,methods,False,False,,,8,0,0,0,main|supp1,1,73280,True
5,10.1016_j.ccell.2021.03.007,10.1016_j.ccell.2021.03.007,ok,yes,yes,none,ok,full,yes,10x Genomics 5' single-cell RNA-seq|10x Genomics single-cell TCR-seq (V(D)J)|bulk RNA-seq|SMART-Seq ultra-low input bulk RNA-seq of flow-sorted popul…,0.97,4,4,0,0,adjacent normal kidney|lymph node|peripheral blood (PBMCs)|tumor (multiregional RCC/ccRCC kidney tumor regions),methods,methods,False,False,,,11,0,0,0,main|supp1|supp2,0,118087,True
5,10.1016_j.ccell.2021.09.008,10.1016_j.ccell.2021.09.008,ok,yes,yes,none,ok,full,yes,10x scRNA-seq|MSK-IMPACT targeted DNA sequencing,0.95,7,6,1,0,adrenal gland|axilla|liver|lung (primary lung tumor and tumor-adjacent normal lung)|pleural effusion|regional lymph node,methods|results_or_figure,methods,False,False,,,18,0,0,0,main|supp1|supp2,1,185034,True
5,10.1016_j.ccell.2022.10.008,10.1016_j.ccell.2022.10.008,ok,yes,yes,none,ok,full,yes,BD Rhapsody scRNA-seq|10x Chromium scRNA-seq|Smart-seq2 scRNA-seq|GEXSCOPE (Singleron) scRNA-seq|inDrop scRNA-seq|Drop-Seq scRNA-seq|bulk RNA-seq,0.95,4,4,0,0,NSCLC tumor tissue (lung tumor)|adjacent normal lung tissue|lung|lymph nodes,methods|results_or_figure,methods,False,False,,,11,0,0,0,main|supp1|supp2,0,211006,True
9,10.1002_ctm2.1356,10.1002_ctm2.1356,ok,yes,yes,none,ok,full,yes,10x Genomics Chromium 3' scRNA-seq (v2 and v3 chemistry),0.95,6,1,4,1,malignant pleural effusion (MPE) / pleural fluid,methods,methods,False,False,,,12,0,0,0,main|supp1,4,67325,True
9,10.1016_j.ajt.2024.08.019,10.1016_j.ajt.2024.08.019,ok,yes,yes,none,ok,full,yes,10x Genomics 3' v3.1 scRNA-seq,0.97,1,1,0,0,peripheral human lung biopsies (donor lung),methods,methods,False,False,,,4,0,0,0,main|supp1,0,47233,True
